Subject ID:, Run Polar:, Run Ecc:, Run Bars:, Polar no. of cycles:, Polar cycle duration:, Eccentricity no. of cycles:, Eccentricity cycle duration:, Bar no. of sweeps:, Bar sweep duration:
IG_PILOTBars1_SES01, No, No, Yes, 18, 42.667, 15, 51.333, 16, 20
Baseline Duration preceding and following stimualtion: 12 secs
Time, pa_cycle_count, time_through_pa_cycle, pa_angle, ecc_cycle_count, time_through_ecc_cycle, ecc_inner_rad, bar_sweep_count, time_through_bar_sweep, bar_drift_position, bar_orientation, fixation_orientation
17.28, 0, 5.27, 43,                              0, 5.27, 39,                              0, 5.27, 226, 0.0,                              0
17.36, 0, 5.35, 44,                              0, 5.35, 39,                              0, 5.35, 229, 0.0,                              0
17.45, 0, 5.45, 45,                              0, 5.45, 40,                              0, 5.45, 234, 0.0,                              0
17.55, 0, 5.54, 46,                              0, 5.54, 41,                              0, 5.54, 238, 0.0,                              0
17.63, 0, 5.62, 46,                              0, 5.62, 41,                              0, 5.62, 241, 0.0,                              0
17.71, 0, 5.7, 47,                              0, 5.7, 42,                              0, 5.7, 244, 0.0,                              0
17.79, 0, 5.78, 48,                              0, 5.78, 42,                              0, 5.78, 248, 0.0,                              0
17.87, 0, 5.86, 48,                              0, 5.86, 43,                              0, 5.86, 251, 0.0,                              0
17.94, 0, 5.94, 49,                              0, 5.94, 44,                              0, 5.94, 255, 0.0,                              0
18.04, 0, 6.03, 50,                              0, 6.03, 44,                              0, 6.03, 259, 0.0,                              0
18.13, 0, 6.13, 50,                              0, 6.13, 45,                              0, 6.13, 263, 0.0,                              0
18.23, 0, 6.22, 51,                              0, 6.22, 46,                              0, 6.22, 267, 0.0,                              0
18.31, 0, 6.3, 52,                              0, 6.3, 46,                              0, 6.3, 271, 0.0,                              0
18.39, 0, 6.38, 53,                              0, 6.38, 47,                              0, 6.38, 274, 0.0,                              0
18.48, 0, 6.48, 53,                              0, 6.48, 48,                              0, 6.48, 278, 0.0,                              0
18.58, 0, 6.57, 54,                              0, 6.57, 48,                              0, 6.57, 282, 0.0,                              0
18.66, 0, 6.65, 55,                              0, 6.65, 49,                              0, 6.65, 286, 0.0,                              0
18.74, 0, 6.73, 56,                              0, 6.73, 49,                              0, 6.73, 289, 0.0,                              0
18.83, 0, 6.83, 56,                              0, 6.83, 50,                              0, 6.83, 293, 0.0,                              0
18.91, 0, 6.9, 57,                              0, 6.9, 51,                              0, 6.9, 297, 0.0,                              0
18.99, 0, 6.98, 58,                              0, 6.98, 51,                              0, 6.98, 300, 0.0,                              0
19.07, 0, 7.07, 58,                              0, 7.07, 52,                              0, 7.07, 304, 0.0,                              0
19.15, 0, 7.14, 59,                              0, 7.15, 53,                              0, 7.15, 307, 0.0,                              0
19.23, 0, 7.22, 60,                              0, 7.22, 53,                              0, 7.22, 311, 0.0,                              0
19.31, 0, 7.3, 60,                              0, 7.3, 54,                              0, 7.3, 314, 0.0,                              0
19.39, 0, 7.38, 61,                              0, 7.38, 54,                              0, 7.38, 318, 0.0,                              0
19.47, 0, 7.47, 62,                              0, 7.47, 55,                              0, 7.47, 321, 0.0,                              0
19.55, 0, 7.54, 63,                              0, 7.54, 56,                              0, 7.54, 325, 0.0,                              0
19.63, 0, 7.62, 63,                              0, 7.62, 56,                              0, 7.62, 328, 0.0,                              0
19.71, 0, 7.7, 64,                              0, 7.7, 57,                              0, 7.7, 331, 0.0,                              0
19.79, 0, 7.78, 65,                              0, 7.78, 57,                              0, 7.78, 335, 0.0,                              0
19.87, 0, 7.86, 65,                              0, 7.86, 58,                              0, 7.86, 338, 0.0,                              0
19.95, 0, 7.94, 66,                              0, 7.94, 59,                              0, 7.94, 342, 0.0,                              0
20.03, 0, 8.02, 67,                              0, 8.02, 59,                              0, 8.02, 345, 0.0,                              0
20.12, 0, 8.12, 67,                              0, 8.12, 60,                              0, 8.12, 349, 0.0,                              0
20.22, 0, 8.21, 68,                              0, 8.21, 61,                              0, 8.21, 354, 0.0,                              0
20.32, 0, 8.31, 69,                              0, 8.31, 61,                              0, 8.31, 358, 0.0,                              45
20.4, 0, 8.39, 70,                              0, 8.39, 62,                              0, 8.39, 361, 0.0,                              45
20.48, 0, 8.47, 70,                              0, 8.47, 62,                              0, 8.47, 365, 0.0,                              45
20.56, 0, 8.55, 71,                              0, 8.55, 63,                              0, 8.55, 368, 0.0,                              45
20.64, 0, 8.63, 72,                              0, 8.63, 64,                              0, 8.63, 372, 0.0,                              45
20.72, 0, 8.71, 72,                              0, 8.71, 64,                              0, 8.71, 375, 0.0,                              45
20.8, 0, 8.79, 73,                              0, 8.79, 65,                              0, 8.79, 379, 0.0,                              45
20.89, 0, 8.89, 74,                              0, 8.89, 66,                              0, 8.89, 383, 0.0,                              45
20.99, 0, 8.98, 75,                              0, 8.98, 66,                              0, 8.98, 387, 0.0,                              45
21.08, 0, 9.08, 75,                              0, 9.08, 67,                              0, 9.08, 391, 0.0,                              45
21.18, 0, 9.17, 76,                              0, 9.17, 68,                              0, 9.17, 395, 0.0,                              45
21.26, 0, 9.26, 77,                              0, 9.26, 68,                              0, 9.26, 399, 0.0,                              45
21.34, 0, 9.34, 78,                              0, 9.34, 69,                              0, 9.34, 402, 0.0,                              45
21.42, 0, 9.42, 78,                              0, 9.42, 70,                              0, 9.42, 406, 0.0,                              45
21.5, 0, 9.5, 79,                              0, 9.5, 70,                              0, 9.5, 409, 0.0,                              45
21.6, 0, 9.6, 80,                              0, 9.6, 71,                              0, 9.6, 414, 0.0,                              45
21.68, 0, 9.68, 80,                              0, 9.68, 71,                              0, 9.68, 417, 0.0,                              45
21.76, 0, 9.76, 81,                              0, 9.76, 72,                              0, 9.76, 421, 0.0,                              45
21.86, 0, 9.85, 82,                              0, 9.85, 73,                              0, 9.85, 425, 0.0,                              45
21.96, 0, 9.95, 83,                              0, 9.95, 74,                              0, 9.95, 429, 0.0,                              45
22.04, 0, 10.03, 83,                              0, 10.03, 74,                              0, 10.03, 433, 0.0,                              45
22.14, 0, 10.13, 84,                              0, 10.13, 75,                              0, 10.13, 437, 0.0,                              45
